通し番号,popup,遺産名,lat,lon,lat-修正,lon-修正,国,種類,文化遺産,自然遺産,複合遺産,登録年,(ⅰ),(ⅱ),(ⅲ),(ⅳ),(ⅴ),(ⅵ),(ⅶ),(ⅷ),(ⅸ),(ⅹ)
674,チュニスの旧市街/1979,チュニスの旧市街,36.81666667,10.16666667,,,チュニジア共和国,文化遺産,1,0,0,1979,0,1,1,0,1,0,0,0,0,0
36,アルジェの旧市街カスバ/1992,アルジェの旧市街カスバ,36.78333333,3.060277778,,,アルジェリア民主人民共和国,文化遺産,1,0,0,1992,0,1,0,0,1,0,0,0,0,0
141,タフテ・ソレイマーン/2003,タフテ・ソレイマーン,36.60388889,47.235,,,イラン・イスラム共和国,文化遺産,1,0,0,2003,1,1,1,1,0,1,0,0,0,0
39,ティパサの考古遺跡/1982,ティパサの考古遺跡,36.55,2.383333333,,,アルジェリア民主人民共和国,文化遺産,1,0,0,1982,0,0,1,1,0,0,0,0,0,0
579,河回村と良洞村の歴史的集落群/2010,河回村と良洞村の歴史的集落群,36.53916667,128.5166667,,,大韓民国,文化遺産,1,0,0,2010,0,0,1,1,0,0,0,0,0,0
583,百済の歴史地区/2015,百済の歴史地区,36.46194444,127.1272222,,,大韓民国,文化遺産,1,0,0,2015,0,1,1,0,0,0,0,0,0,0
392,ロドス島の中世都市/1988,ロドス島の中世都市,36.44722222,28.22777778,,,ギリシャ共和国,文化遺産,1,0,0,1988,0,1,0,1,1,0,0,0,0,0
20,タオス・プエブロの伝統的集落/1992,タオス・プエブロの伝統的集落,36.43889,-105.5333333,,,アメリカ合衆国,文化遺産,1,0,0,1992,0,0,0,1,0,0,0,0,0,0
140,ソルターニーイェ/2005,ソルターニーイェ,36.43527778,48.79666667,,,イラン・イスラム共和国,文化遺産,1,0,0,2005,0,1,1,1,0,0,0,0,0,0
744,クサントスとレトーン/1988,クサントスとレトーン,36.35616667,29.31858333,,,トルコ共和国,文化遺産,1,0,0,1988,0,1,1,0,0,0,0,0,0,0
451,シリア北部の古代集落群/2011,シリア北部の古代集落群,36.33416667,36.84416667,,,シリア・アラブ共和国,文化遺産,1,0,0,2011,0,0,1,1,1,0,0,0,0,0
632,泰山/1987,泰山,36.26666667,117.1,,,中華人民共和国,複合遺産,0,0,1,1987,1,1,1,1,1,1,1,0,0,0
448,アレッポの旧市街/1986,アレッポの旧市街,36.19944444,37.1625,,,シリア・アラブ共和国,文化遺産,1,0,0,1986,0,0,1,1,0,0,0,0,0,0
132,エルビル城砦/2014,エルビル城砦,36.19111111,44.00916667,,,イラク共和国,文化遺産,1,0,0,2014,0,0,0,1,0,0,0,0,0,0
614,殷墟/2006,殷墟,36.12666667,114.3138889,,,中華人民共和国,文化遺産,1,0,0,2006,0,1,1,1,0,1,0,0,0,0
21,チャコ文化/1987,チャコ文化,36.06377778,-107.9708333,,,アメリカ合衆国,文化遺産,1,0,0,1987,0,0,1,0,0,0,0,0,0,0
1023,マルタの巨石神殿群/1980,マルタの巨石神殿群,36.04908333,14.26947222,,,マルタ共和国,文化遺産,1,0,0,1980,0,0,0,1,0,0,0,0,0,0
1022,バレッタの市街/1980,バレッタの市街,35.90055556,14.51444444,,,マルタ共和国,文化遺産,1,0,0,1980,1,0,0,0,0,1,0,0,0,0
1021,ハル・サフリエニの地下墳墓/1980,ハル・サフリエニの地下墳墓,35.87133333,14.50738889,,,マルタ共和国,文化遺産,1,0,0,1980,0,0,1,0,0,0,0,0,0,0
672,スースの旧市街/1988,スースの旧市街,35.82777778,10.63861111,,,チュニジア共和国,文化遺産,1,0,0,1988,0,0,1,1,1,0,0,0,0,0
578,『八萬大蔵経』版木所蔵の海印寺/1995,『八萬大蔵経』版木所蔵の海印寺,35.8,128.1,,,大韓民国,文化遺産,1,0,0,1995,0,0,0,1,0,1,0,0,0,0
570,慶州の歴史地区/2000,慶州の歴史地区,35.78888889,129.2266667,,,大韓民国,文化遺産,1,0,0,2000,0,1,1,0,0,0,0,0,0,0
573,石窟庵と仏国寺/1995,石窟庵と仏国寺,35.78333333,129.35,,,大韓民国,文化遺産,1,0,0,1995,1,0,0,1,0,0,0,0,0,0
150,ゴレスタン宮殿/2013,ゴレスタン宮殿,35.68036667,51.42051111,,,イラン・イスラム共和国,文化遺産,1,0,0,2013,1,1,1,1,0,0,0,0,0,0
620,曲阜の孔廟、孔林、孔府/1994,曲阜の孔廟、孔林、孔府,35.61166667,116.975,,,中華人民共和国,文化遺産,1,0,0,1994,1,0,0,1,0,1,0,0,0,0
17,グレート・スモーキー山脈国立公園/1983,グレート・スモーキー山脈国立公園,35.59305556,-83.43555556,,,アメリカ合衆国,自然遺産,0,1,0,1983,0,0,0,0,0,0,1,1,1,1
130,円形都市ハトラ/1985,円形都市ハトラ,35.58805556,42.71833333,,,イラク共和国,文化遺産,1,0,0,1985,0,1,1,1,0,1,0,0,0,0
129,アッシュル（カラット・シェルカット）/2003,アッシュル（カラット・シェルカット）,35.45888889,43.25972222,,,イラク共和国,文化遺産,1,0,0,2003,0,0,1,1,0,0,0,0,0,0
669,エル・ジェムの円形闘技場/1979,エル・ジェムの円形闘技場,35.29638889,10.70694444,,,チュニジア共和国,文化遺産,1,0,0,1979,0,0,0,1,0,1,0,0,0,0
571,高敞、和順、江華の支石墓跡/2000,高敞、和順、江華の支石墓跡,34.96667,126.9166667,,,大韓民国,文化遺産,1,0,0,2000,0,0,1,0,0,0,0,0,0,0
364,トロオドス地方の壁画教会群/1985,トロオドス地方の壁画教会群,34.92027778,33.09583333,,,キプロス共和国,文化遺産,1,0,0,1985,0,1,1,1,0,0,0,0,0,0
10,バーミヤン渓谷の文化的景観と古代遺跡群/2003,バーミヤン渓谷の文化的景観と古代遺跡群,34.84694,67.82525,,,アフガニスタン・イスラム共和国,文化遺産,1,0,0,2003,1,1,1,1,0,1,0,0,0,0
366,ヒロキティアの考古遺跡/1998,ヒロキティアの考古遺跡,34.79833333,33.34333333,,,キプロス共和国,文化遺産,1,0,0,1998,0,1,1,1,0,0,0,0,0,0
449,クラック・デ・シュヴァリエとカラット・サラーフ・アッディーン/2006,クラック・デ・シュヴァリエとカラット・サラーフ・アッディーン,34.78166667,36.26305556,,,シリア・アラブ共和国,文化遺産,1,0,0,2006,0,1,0,1,0,0,0,0,0,0
365,パフォスの考古遺跡/1980,パフォスの考古遺跡,34.75833333,32.40555556,,,キプロス共和国,文化遺産,1,0,0,1980,0,0,1,0,0,1,0,0,0,0
657,京杭大運河/2014,京杭大運河,34.69388889,112.4683333,,,中華人民共和国,文化遺産,1,0,0,2014,1,0,1,1,0,1,0,0,0,0
450,古代都市パルミラ/1980,古代都市パルミラ,34.55416667,38.26666667,,,シリア・アラブ共和国,文化遺産,1,0,0,1980,1,1,0,1,0,0,0,0,0,0
650,龍門石窟/2000,龍門石窟,34.46666667,112.4666667,,,中華人民共和国,文化遺産,1,0,0,2000,1,1,1,0,0,0,0,0,0,0
637,登封の歴史的建造物群－天地之中/2010,登封の歴史的建造物群－天地之中,34.45874722,113.0677194,,,中華人民共和国,文化遺産,1,0,0,2010,0,0,1,0,0,1,0,0,0,0
9,ジャームのミナレットと考古遺跡群/2002,ジャームのミナレットと考古遺跡群,34.39655556,64.51605556,,,アフガニスタン・イスラム共和国,文化遺産,1,0,0,2002,0,1,1,1,0,0,0,0,0,0
145,ビーソトゥーン/2006,ビーソトゥーン,34.38833333,47.43666667,,,イラン・イスラム共和国,文化遺産,1,0,0,2006,0,1,1,0,0,0,0,0,0,0
627,始皇帝陵と兵馬俑坑/1987,始皇帝陵と兵馬俑坑,34.38333333,109.1,,,中華人民共和国,文化遺産,1,0,0,1987,1,0,1,1,0,1,0,0,0,0
131,古代都市サーマッラー/2007,古代都市サーマッラー,34.34098944,43.82354306,,,イラク共和国,文化遺産,1,0,0,2007,0,1,1,1,0,0,0,0,0,0
667,シルク・ロード：長安から天山回廊の交易網/2014,シルク・ロード：長安から天山回廊の交易網,34.30444444,108.8572222,,,中華人民共和国、カザフスタン共和国、キルギス共和国,文化遺産,1,0,0,2014,0,1,1,0,1,1,0,0,0,0
1125,カディーシャ渓谷（聖なる谷）と神の杉の森（ホルシュ・アルツ・エルラブ）/1998,カディーシャ渓谷（聖なる谷）と神の杉の森（ホルシュ・アルツ・エルラブ）,34.24333333,36.04888889,,,レバノン共和国,文化遺産,1,0,0,1998,0,0,1,1,0,0,0,0,0,0
1128,フェニキア都市ビブロス/1984,フェニキア都市ビブロス,34.11916667,35.6475,,,レバノン共和国,文化遺産,1,0,0,1984,0,0,1,1,0,1,0,0,0,0
